A, a:  (eɪ) ,
a•bil•i•ty:  (əˈbɪl ɪ ti) ,
a•ble:  (ˈeɪ bəl) ,
a•bout:  (əˈbaʊt) ,
a•bove:  (əˈbʌv) ,
ac•cept:  (ækˈsɛpt) ,
ac•count:  (əˈkaʊnt) ,
a•cross:  (əˈkrɔs, əˈkrɒs) ,
act:  (ækt) ,
ac•tion:  (ˈæk ʃən) ,
ac•tiv•i•ty:  (ækˈtɪv ɪ ti) ,
ac•tu•al•ly:  (ˈæk tʃu ə li) ,
add:  (æd) ,
ad•dress:  (n.  əˈdrɛs, ˈæd rɛs; v.  əˈdrɛs) ,
ad•min•is•tra•tion:  (ædˌmɪn əˈstreɪ ʃən) ,
ad•mit:  (ædˈmɪt) ,
a•dult:  (əˈdʌlt, ˈæd ʌlt) ,
af•fect1:  (v.  əˈfɛkt; n.  ˈæf ɛkt) ,
af•ter:  (ˈæf tər, ˈɑf-) ,
a•gain:  (əˈgɛn, əˈgeɪn) ,
a•gainst:  (əˈgɛnst, əˈgeɪnst) ,
age:  (eɪdʒ) ,
a•gen•cy:  (ˈeɪ dʒən si) ,
a•gent:  (ˈeɪ dʒənt) ,
a•go:  (əˈgoʊ) ,
a•gree:  (əˈgri) ,
a•gree•ment:  (əˈgri mənt) ,
a•head:  (əˈhɛd) ,
air:  (ɛər) ,
all:  (ɔl) ,
al•low:  (əˈlaʊ) ,
al•most:  (ˈɔl moʊst, ɔlˈmoʊst) ,
a•lone:  (əˈloʊn) ,
a•long:  (əˈlɔŋ, əˈlɒŋ) ,
al•read•y:  (ɔlˈrɛd i) ,
al•so:  (ˈɔl soʊ) ,
al•though:  (ɔlˈðoʊ) ,
al•ways:  (ˈɔl weɪz, -wiz) ,
A•mer•i•can:  (əˈmɛr ɪ kən) ,
a•mong:  (əˈmʌŋ) ,
a•mount:  (əˈmaʊnt) ,
a•nal•y•sis:  (əˈnæl ə sɪs) ,
and:  (ænd) ,
an•i•mal:  (ˈæn ə məl) ,
an•oth•er:  (əˈnʌð ər) ,
an•swer:  (ˈæn sər, ˈɑn-) ,
an•y:  (ˈɛn i) ,
an•y•one:  (ˈɛn iˌwʌn, -wən) ,
an•y•thing:  (ˈɛn iˌθɪŋ) ,
ap•pear:  (əˈpɪər) ,
ap•ply:  (əˈplaɪ) ,
ap•proach:  (əˈproʊtʃ) ,
ar•e•a:  (ˈɛər i ə) ,
ar•gue:  (ˈɑr gyu) ,
arm1:  (ɑrm) ,
a•round:  (əˈraʊnd) ,
ar•rive:  (əˈraɪv) ,
art1:  (ɑrt) ,
ar•ti•cle:  (ˈɑr tɪ kəl) ,
art•ist:  (ˈɑr tɪst) ,
as1:  (æz; unstressed əz) ,
ask:  (æsk, ɑsk) ,
as•sume:  (əˈsum) ,
at1:  (æt; unstressed ət, ɪt) ,
at•tack:  (əˈtæk) ,
at•ten•tion:  (n.  əˈtɛn ʃən; interj.  əˌtɛnˈʃʌn) ,
at•tor•ney:  (əˈtɜr ni) ,
au•di•ence:  (ˈɔ di əns) ,
au•thor:  (ˈɔ θər) ,
au•thor•i•ty:  (əˈθɔr ɪ ti, əˈθɒr-) ,
buy:  (baɪ) ,
by1:  (baɪ) ,
call:  (kɔl) ,
